id	tissue	rep	group
SRR2515135	brain	1	1
SRR2515136	eye	1	2
SRR2515137	heart	1	3
SRR2515138	intestine	1	4
SRR2515139	kidney	1	5
SRR2515140	liver	1	6
SRR2515141	lung	1	7
SRR2515142	muscle	1	8
SRR2515143	ovary	1	9
SRR2515144	pancreas	1	10
SRR2515145	skin	1	11
SRR2515146	spleen	1	12
SRR2515147	stomach	1	13
SRR2515148	testis	1	14
SRR2515149	brain	2	1
SRR2515150	eye	2	2
SRR2515151	heart	2	3
SRR2515152	intestine	2	4
SRR2515153	kidney	2	5
SRR2515154	liver	2	6
SRR2515155	lung	2	7
SRR2515156	muscle	2	8
SRR2515157	ovary	2	9
SRR2515158	pancreas	2	10
SRR2515159	skin	2	11
SRR2515160	spleen	2	12
SRR2515161	stomach	2	13
SRR2515162	testis	2	14
